Query,Title,Author,Publisher,Publised Year,Categories,Distinc Amount,Average,Sentiment,Percentile
3,The Pearl,['John Steinbeck'],Penguin,1994,['Fiction'],1141,3.618755477651183,,
3,Frankenstein (Running Press classics),['Mary Wollstonecraft Shelley'],Running Press Book Publishers,1990,['Frankenstein (Fictitious character)'],764,4.0811518324607325,,
3,A Portrait of the Artist as a Young Man,['James Joyce'],Wordsworth Editions,1992,['Fiction'],918,3.8823529411764706,,
3,The Adventures of Huckleberry Finn,['Mark Twain'],Courier Corporation,1994,['Fiction'],762,4.206036745406824,,
3,"A Tree Grows in Brooklyn by Smith, Betty",['Betty Smith'],Random House,1992,['Fiction'],786,4.707379134860051,,
3,The Red Tent (Bestselling Backlist),['Anita Diamant'],Picador,1998,['Fiction'],1753,4.153451226468911,,
3,The Lord of the Rings (3 Volume Set),['J. R. R. Tolkien'],,1996,"['Baggins, Bilbo (Fictitious character)']",2477,4.578118691966088,,
3,OF MICE AND MEN,['John Steinbeck'],Penguin,1994,['Fiction'],1348,4.350148367952523,,
3,I Am Legend,['Richard Matheson'],Phoenix,1999,['Horror tales'],788,4.180203045685279,,
3,Foundation And Empire,['D. G. Leahy'],SUNY Press,1996,['Religion'],609,4.274220032840723,,
3,"The Scarlet Letter (Lake Illustrated Classics, Collection 2)",['Thomas Hardy'],Ags Pub,1994,['Books and reading'],777,3.8185328185328187,,
3,Animal Farm 50TH Anniversary Edition,['George Orwell'],Houghton Mifflin Harcourt,1995,['Fiction'],1454,4.452544704264099,,
3,I know this much is true,['Wally Lamb'],Harper,1998,['Fiction'],1630,4.5,,
3,Who Moved My Cheese? An-Amazing Way to Deal with Change in Your Work and in Your Life,['Spencer Johnson'],Penguin,1998,['Business & Economics'],1882,3.334218916046759,,
3,The Killer Angels (Turtleback School & Library Binding Edition),['Michael Shaara'],Turtleback Books,1996,['Fiction'],800,4.66375,,
3,Wuthering Heights (Signet classics),['Emily Brontë'],Signet,1993,['Audiobooks'],2160,4.05462962962963,,
3,Adventures of Huckleberry Finn,['Mark Twain'],Courier Corporation,1994,['Fiction'],1553,4.219575016097875,,
3,"Slaughterhouse-five: Or, The children's crusade : a duty-dance with death",['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],998,4.326653306613227,,
3,The Grapes of Wrath (Steinbeck Essentials),['John Steinbeck'],Dutton Juvenile,1994,"['Cannery Row (Monterey, Calif.)']",769,4.40702210663199,,
3,All quiet on the western front;,['Erich Maria Remarque'],Random House Trade Paperbacks,1996,['Fiction'],573,4.49738219895288,,
3,Little Women (Courage giant classics),['Louisa May Alcott'],Courage Books,1999,['Fiction'],836,4.44976076555024,,
3,Slaughter-House Five,['Kurt Vonnegut'],Dial Press Trade Paperback,1999,['Fiction'],1000,4.324,,
3,Heart of Darkness (Everyman Classics),['Joseph Conrad'],Everyman Chess,1993,['Africa'],656,4.050304878048781,,
3,The hitchhiker's guide to the galaxy,['Douglas Adams'],Harmony,1994,['Science'],1010,4.457425742574258,,
3,Point of origin,['Patricia Daniels Cornwell'],Penguin,1998,['Fiction'],521,3.259117082533589,,
3,The Good Earth,"['Pearl S. Buck', 'Emily Hutchinson']",Turtleback Books,1999,['Juvenile Fiction'],602,4.204318936877076,,
3,Killing Time,['Paul Feyerabend'],University of Chicago Press,1996,['Biography & Autobiography'],538,2.37546468401487,,
3,"Ulysses,",['James Joyce'],Vintage,1990,['Fiction'],1221,3.8255528255528257,,
3,ANIMAL FARM - A Fairy Story (Time Reading Program Special Edition),['Gillian Fenwick'],Oak Knoll Press,1998,['Biography & Autobiography'],1447,4.458189357290947,,
3,"Brave new world,: A novel",['Aldous Huxley'],Harper Collins,1998,['Fiction'],1053,4.235517568850902,,
3,A Christmas Carol [One Voice Recordings Edition],['Charles Dickens'],Everyman's Library,1994,['Fiction'],1002,4.684630738522954,,
3,Executive Orders,['Tom Clancy'],Penguin,1997,['Fiction'],568,3.880281690140845,,
3,The Stand. The Complete and Uncut Edition,['Stephen King'],Doubleday Books,1990,['Fiction'],1346,4.485884101040119,,
3,"Rich Dad, Poor Dad",['Sharon L. Lechter'],Techpr Incorporated,1998,['Business & Economics'],2734,3.7585954645208486,,
3,Black and Blue: A Novel (Oprah's Book Club),['Anna Quindlen'],Dell Publishing Company,1999,['Fiction'],500,3.87,,
3,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",['Laura Esquivel'],,1992,['Mexico'],515,4.1300970873786405,,
5,"Get Busy, Beaver! (Book and Audio CD) (Paperback)",['Helena Hunting'],Singel Uitgeverijen,2021,['Fiction'],,,0.34099,0.31363949999999996
5,The Forbidden Stories of Marta Veneranda,['Sonia Rivera-Valdes'],Seven Stories Press,2001,['Fiction'],,,0.36094,0.31363949999999996
5,Hunters & Shooters,['Jean M. Auel'],Hachette UK,2010,['Fiction'],,,0.38842083333333327,0.31363949999999996
5,The Bedquilt and Other Stories,['Dorothy Canfield Fisher'],University of Missouri Press,1997,['Fiction'],,,0.37917,0.31363949999999996
5,Sea Runners,['Ivan Doig'],Mariner Books,1982,['Fiction'],,,0.313838,0.31363949999999996
5,"Woman at the window, a novel",['A. J. Finn'],William Morrow Paperbacks,2019,['Fiction'],,,0.47083,0.31363949999999996
5,Deadville,['Robert F. Jones'],Skyhorse,2013,['Fiction'],,,0.318855,0.31363949999999996
5,The Complete Wandering Ghosts,"['F. Marion Crawford', 'Lee Weinstein']",Wildside Press,2002,['Fiction'],,,0.556745,0.31363949999999996
5,All Things Are Lights,['Robert Shea'],,1986,['Fiction'],,,0.32321,0.31363949999999996
5,"Shooting the Rift, the Glass Towers, the Pale King",['David L. Empey'],,2000,['Fiction'],,,0.344475,0.31363949999999996
5,THE SHADOW IN THE GLASS,['JJA Harwood'],HarperCollins UK,2021,['Fiction'],,,0.38853,0.31363949999999996
5,Daughters Of The Sea (Next),['Ellyn Bache'],Harlequin,2012,['Fiction'],,,0.35795,0.31363949999999996
5,The Cosmological Eye,['Henry Miller'],New Directions Publishing,1961,['Fiction'],,,0.5305566666666667,0.31363949999999996
5,The 2 1/2 Pillars of Wisdom (The Von Igelfeld Trilogy),['Alexander McCall Smith'],Vintage Canada,2009,['Fiction'],,,0.3166525,0.31363949999999996
5,Beautiful Thing (Modern Classics),['Gertrude Stein'],e-artnow,2016,['Fiction'],,,0.41211555555555557,0.31363949999999996
5,Half Nelson: A Tom Bethany Mystery,['Jerome Doolittle'],,1995,['Fiction'],,,0.31496999999999997,0.31363949999999996
5,First Knight: A Novelization,['Ines Johnson'],Those Johnson Girls,2019,['Fiction'],,,0.43031222222222226,0.31363949999999996
5,Three Lions Roar: A Novel Of World Cup 2006,['Umut Ozturk'],iUniverse,2005,['Fiction'],,,0.40521,0.31363949999999996
5,The Desert Crop,['Catherine Cookson'],,1999,['Fiction'],,,0.35414166666666663,0.31363949999999996
5,"Totline 123 Math: Pre-Math Activities for Working With Young Children (1-2-3 Series, Math: Ages 3-6)",['Isa Maron'],Overamstel Uitgevers,2014,['Fiction'],,,0.4863766666666667,0.31363949999999996
5,"Standard Catalog Of Cadillac 1903-2005, 3RD EDITION",['Tom Vanderbilt'],"Bezige Bij b.v., Uitgeverij De",2011,['Fiction'],,,0.3433958333333334,0.31363949999999996
5,My Sleepy Room,['F. R. Tallis'],Pan Macmillan,2013,['Fiction'],,,0.50791,0.31363949999999996
5,The Prayer of Jabez for Women video workbook: Breaking Through to the Blessed Life (Additional Video Series from Global Vision Resources),['Francine Rivers'],Voorhoeve,2013,['Fiction'],,,0.3177215384615385,0.31363949999999996
5,Star girl,['Louise Beech'],Orenda Books,2019,['Fiction'],,,0.3224,0.31363949999999996
5,The Jacket,['Charles Elgee'],iUniverse,2000,['Fiction'],,,0.32259,0.31363949999999996
5,Cadillac,['Robert Dunn'],Coral Press,2001,['Fiction'],,,0.374668,0.31363949999999996
5,Roll over and Play Dead,['Joan Hess'],Pan Macmillan,2014,['Fiction'],,,0.5643050000000001,0.31363949999999996
5,Wedding Readings,['Becky Brown'],Pan Macmillan,2021,['Fiction'],,,0.725,0.31363949999999996
5,"Partners in Marriage (Silhouette Special Edition Ser, No. 1205)",['Kathleen Woodiwiss'],Boekerij,2013,['Fiction'],,,0.45417,0.31363949999999996
5,Amazing Grace,['Jody Hedlund'],Kok,2017,['Fiction'],,,0.348025625,0.31363949999999996
5,Beyond the Reach,['Karin Slaughter'],HarperCollins,2021,['Fiction'],,,0.344155,0.31363949999999996
5,Daughters of Earth: Feminist Science Fiction in the Twentieth Century,['Justine Larbalestier'],Wesleyan University Press,2006,['Fiction'],,,0.3404475,0.31363949999999996
5,The Hollyhocks Trail,['Bruce Stapleton'],iUniverse,2000,['Fiction'],,,0.725,0.31363949999999996
5,Three Wishes,['Liane Moriarty'],A.W. Bruna Uitgevers,2017,['Fiction'],,,0.4835200000000001,0.31363949999999996
5,Unsolved: Great Mysteries of the 20th Century,['Kirk Wilson'],Carroll & Graf Pub,1990,['Fiction'],,,0.37778,0.31363949999999996
5,Holding On to Your Dreams,['Beryl Matthews'],Allison & Busby,2015,['Fiction'],,,0.58125,0.31363949999999996
5,On Bended Knee (Zebra Regency Romance),"['Alice Holden', 'Kate Huntington', 'Laura Byrne Paquet']",Zebra Books,2003,['Fiction'],,,0.41156499999999996,0.31363949999999996
5,"Tales from the Barricades: Being the True and Faithful Account of the Life and Times of Ulster's Modern Cuchullian, B.A. Grimshaw, and His Heroic Part in Ireland's Fight for",['Sean McGuffin'],McNally & Loftin Pub,1990,['Fiction'],,,0.35833,0.31363949999999996
5,Growing Pains: The Autobiography of Emily Carr,['Emily Carr'],D & M Publishers,2009,['Fiction'],,,0.331448,0.31363949999999996
5,The Prayer of Jabez for Women audio curriculum CD - 4-part: Breaking Through to the Blessed Life (Audio CD Series),['Francine Rivers'],Voorhoeve,2013,['Fiction'],,,0.3177215384615385,0.31363949999999996
5,The House Behind the Cedars (Transaction Large Print Books),['Charles W. Chesnutt'],Transaction Large Print,2000,['Fiction'],,,0.33086399999999994,0.31363949999999996
5,Voyage of Integrity,['Pamela C. Parsons'],PublishAmerica,2001,['Fiction'],,,0.44116,0.31363949999999996
5,EL jardn increible,['Horacio A. Hernández'],Xlibris Corporation,2010,['Fiction'],,,0.36429,0.31363949999999996
5,Mistletoe Over Manhattan (Harlequin Temptation),['Barbara Daly'],HarperCollins UK,2014,['Fiction'],,,0.33634,0.31363949999999996
5,"The Pretender (The Chaos Gate Trilogy, Book 2)",['Louise Cooper'],Spectra,1990,['Fiction'],,,0.369575,0.31363949999999996
5,Alley Urchin,['Josephine Cox'],Canelo,2018,['Fiction'],,,0.41667000000000004,0.31363949999999996
5,The worlds of Jack Vance,['Jack Vance'],Orb Books,2016,['Fiction'],,,0.322085,0.31363949999999996
5,Off on a Journey,['Bernadette Rivas Soto'],"Fulton Books, Inc.",2017,['Fiction'],,,0.453315,0.31363949999999996
5,From the Place in the Valley Deep in the Forest,['Mitch Cullin'],,2001,['Fiction'],,,0.390955,0.31363949999999996
5,Ralph Compton: The Ogallala Trail,"['Ralph Compton', 'Dusty Richards']",Penguin,2005,['Fiction'],,,0.4125,0.31363949999999996
5,Sexy Book,['Carly Phillips'],CP Publishing,2020,['Fiction'],,,0.66667,0.31363949999999996
5,Breakaway,['Catherine Gayle'],"Bons Mots, Inc.",2013,['Fiction'],,,0.450815,0.31363949999999996
5,Skin Flicks,['Philip Caveney'],Hachette UK,2012,['Fiction'],,,0.326785,0.31363949999999996
5,"Old Indian days,",['Charles A. Eastman'],The Floating Press,2009,['Fiction'],,,0.383335,0.31363949999999996
5,Asleep in the Sun,['Adolfo Bioy Casares'],Plume,1990,['Fiction'],,,0.38290500000000005,0.31363949999999996
5,Arco Suspension and Steeringfor Ase Test A4 (Chek-Chart's Ase Study Guides),['Isa Maron'],Overamstel Uitgevers,2014,['Fiction'],,,0.54167,0.31363949999999996
5,Night Sounds and Other Stories,['Karen Gettert Shoemaker'],Dufour Editions,2002,['Fiction'],,,0.34556,0.31363949999999996
5,"Legends of the Wild West: The West's Wildest Outlaws, Lawmen, and Adventurers",['Consumer Guide'],N A L,1997,['Fiction'],,,0.41833,0.31363949999999996
5,I Want to Marry Godzilla and Have His Children,['Melle Shipwash Starsen'],PublishAmerica,2001,['Fiction'],,,0.43228999999999995,0.31363949999999996
5,Buster Midnight's Cafe,['Sandra Dallas'],Center Point Pub,2003,['Fiction'],,,0.34113756756756763,0.31363949999999996
5,THE CREEPERS,['John Creasey'],House of Stratus,2011,['Fiction'],,,0.32,0.31363949999999996
5,A Deadly Quiet: An Inupiat Eskimo Mystery (Inupiat Eskimo Mysteries),['Christopher Lane'],Avon,2001,['Fiction'],,,0.3175,0.31363949999999996
5,"Babe In The Woods (Silhouette Romance, 1424)",['Cara Colter'],Harlequin,2014,['Fiction'],,,0.38251999999999997,0.31363949999999996
5,Killswitch,['Victoria Buck'],Pelican Ventures Book Group,2016,['Fiction'],,,0.31713,0.31363949999999996
5,The edge of darkness.,['Barbara Erskine'],HarperCollins UK,2009,['Fiction'],,,0.336595,0.31363949999999996
5,Back Street,['Gary D. Jefferson'],Archway Publishing,2014,['Fiction'],,,0.328,0.31363949999999996
5,Mrs. Hudson and the Malabar Rose,['Martin Davies'],Canelo,2015,['Fiction'],,,0.349416,0.31363949999999996
5,The Spinter Book,['Val McDermid'],Open Road + Grove/Atlantic,2015,['Fiction'],,,0.4,0.31363949999999996
5,My Lord Immortality (Zebra Regency Romance),['Debbie Raleigh'],Zebra Books,2003,['Fiction'],,,0.34362333333333334,0.31363949999999996
5,The Hall of the Vampires: Book I,['H. Jorgensen'],iUniverse,2002,['Fiction'],,,0.31589666666666666,0.31363949999999996
5,On the yard;: A novel,['Michel Prince'],Michel Prince Books,2020,['Fiction'],,,0.394452,0.31363949999999996
5,Maudlin Scourge,['Mary Denis Reidy'],Commonwealth Publications Incorporated,1995,['Fiction'],,,0.51962,0.31363949999999996
5,The Complete Book of Dream Interpretation,['Laura Imai Messina'],A.W. Bruna Uitgevers,2020,['Fiction'],,,0.45833,0.31363949999999996
5,Watch You Don't Fall (Great Plains Fiction),['Bettina Von Kampen'],Great Plains Fiction,2004,['Fiction'],,,0.32827,0.31363949999999996
5,Into the Long Dark Night (The Journals of Corrie Belle Hollister #6),['Michael Phillips'],Baker Books,2018,['Fiction'],,,0.4129433333333334,0.31363949999999996
5,Longarm and the Golden Goddess (Longarm #261),['Tabor Evans'],Penguin,2000,['Fiction'],,,0.32442,0.31363949999999996
5,100 Years of Cowboy Stories (Roundup Books),['Ted Stone'],Red Deer Press,1994,['Fiction'],,,0.38,0.31363949999999996
5,Total Request Live,['Ian Jackman'],Simon and Schuster,2000,['Fiction'],,,0.39572399999999996,0.31363949999999996
5,Death's Domain: A Discworld Mapp (Discworld Series),"['Terry Pratchett', 'Paul Kidby']",Transworld Pub,1999,['Fiction'],,,0.34784454545454546,0.31363949999999996
5,Ambush of the Mountain Man,['William W. Johnstone'],Pinnacle Books                ,2011,['Fiction'],,,0.3838925,0.31363949999999996
5,Sea Lord (The Thrillers #2),['Bernard Cornwell'],Penguin UK,2006,['Fiction'],,,0.372222,0.31363949999999996
5,The Substitute Fiancee (Silhouette Romance),['Rebecca Russell'],Silhouette,2014,['Fiction'],,,0.35667,0.31363949999999996
5,Come Summer,['Karen Wiesner'],Writers Exchange E-Publishing,2014,['Fiction'],,,0.3636975,0.31363949999999996
5,Punany : The Hip Hop Psalms (New Classic - Color),['Daniela Krien'],Ambo|Anthos,2020,['Fiction'],,,0.37571000000000004,0.31363949999999996
5,The Stalker,['Michele Venné'],My Joy Enterprises,2022,['Fiction'],,,0.31667,0.31363949999999996
5,The Baby on the Way,['Janis Reams Hudson'],Harlequin,2014,['Fiction'],,,0.35702,0.31363949999999996
5,The Collected Poems,['Zbigniew Herbert'],Harper Collins,2010,['Fiction'],,,0.3897488888888889,0.31363949999999996
5,"The Cowboy's Baby Surprise (Silouette Desire, 1446)",['Linda Conrad'],Silhouette,2008,['Fiction'],,,0.3976942857142857,0.31363949999999996
5,Making the Blue Plate Special,['Abigail Padgett'],Hachette UK,2009,['Fiction'],,,0.3913333333333333,0.31363949999999996
5,When She's Gone,['Jane Palmer'],Crooked Lane Books,2016,['Fiction'],,,0.50707,0.31363949999999996
5,Little Country Town,['Honore de Balzac'],BoD – Books on Demand,2019,['Fiction'],,,0.4187133333333333,0.31363949999999996
5,The Wasp Eater,['William Lychack'],Houghton Mifflin Harcourt,2005,['Fiction'],,,0.3262264285714286,0.31363949999999996
5,"A Bad Day to Die: The Adventures of Lucius ""By God"" Dodge, Texas Ranger",['J. Lee Butts'],Berkley,2004,['Fiction'],,,0.32276333333333335,0.31363949999999996
5,Some Enchanted Eating,['Bailey Cates'],Penguin,2014,['Fiction'],,,0.4288733333333334,0.31363949999999996
5,The Detection Collection,"['The Detection Club', 'Colin Dexter', 'Robert Goddard', 'Reginald Hill', 'P.D. James']",Harper Collins,2014,['Fiction'],,,0.34596,0.31363949999999996
5,The Basic Formulas of Fiction,['William Foster Harris'],,1960,['Fiction'],,,0.33028,0.31363949999999996
5,Live/Love: Lenticular Postcards (Optical Illusions),['Henry David Thoreau'],"Bezige Bij b.v., Uitgeverij De",2019,['Fiction'],,,0.696,0.31363949999999996
5,Turnip Patch Infield and a Navajo,['Lawrence A. Wenzel'],,1999,['Fiction'],,,0.4229399999999999,0.31363949999999996
5,Bottoms,['Joe R. Lansdale'],Vintage Crime/Black Lizard,2010,['Fiction'],,,0.58333,0.31363949999999996
5,The Merchant's War,['Charles Stross'],Macmillan,2008,['Fiction'],,,0.336304,0.31363949999999996
5,Five Golden Rings,"['Sophie Barnes', 'Karen Erickson', 'Rena Gregory', 'Sandra Jones', 'Vivienne Lorret']",Harper Collins,2012,['Fiction'],,,0.39017999999999997,0.31363949999999996
5,The Greyhound God (Western Literature Series),['Keith Lee Morris'],Western Literature,2003,['Fiction'],,,0.366662,0.31363949999999996
5,The Perfect Body,['Frankie Bow'],Hawaiian Heritage Press,2018,['Fiction'],,,0.37041999999999997,0.31363949999999996
5,The White Mice,['Richard Harding Davis'],Read Books Ltd,2014,['Fiction'],,,0.75,0.31363949999999996
5,Hunters of Gor (Saga of Tarl Cabot #8),['John Norman'],Open Road Media Sci-Fi & Fantasy,2014,['Fiction'],,,0.31667,0.31363949999999996
5,Errant Story Vol 1 (Errant Story Series),['Percy Greg'],Forgotten Books,2017,['Fiction'],,,0.31773,0.31363949999999996
5,A secret star,['Nora Roberts'],HarperCollins,2017,['Fiction'],,,0.43,0.31363949999999996
5,Beyond the Steps and Stares,['Alexander Beiner'],Troubador Publishing Ltd,2009,['Fiction'],,,0.46298666666666666,0.31363949999999996
5,Nottingham Lace (Book One in The Lace Trilogy) (The Lace Trilogy),['Evelyn Swift'],Orchard House Press,2004,['Fiction'],,,0.3525,0.31363949999999996
5,Love's Inferno (Arabesque),['Elaine Overton'],Kensington Books,2005,['Fiction'],,,0.36367499999999997,0.31363949999999996
5,Timeless Passion,"[""Constance O'Day-Flannery""]",Zebra Books,1986,['Fiction'],,,0.31763892857142856,0.31363949999999996
5,Cover Me Naked,"['Dawn Grace-Jones', 'E Grace-Jones']",iUniverse,2001,['Fiction'],,,0.4139340000000001,0.31363949999999996
5,Fantastic Stories/Cuentos Fantasticos,"['Radames Morales', 'Joann Richie']",CreateSpace,2006,['Fiction'],,,0.49821,0.31363949999999996
5,THE KILLER MINE.,['Hammond Innes'],Random House,2013,['Fiction'],,,0.34108333333333335,0.31363949999999996
5,Dancing in the Fields of God,['Janice Imbach'],PublishAmerica,2001,['Fiction'],,,0.3141175,0.31363949999999996
5,Winning his way,['Charles Carleton Coffin'],Good Press,2019,['Fiction'],,,0.34902500000000003,0.31363949999999996
